"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"66","1994","5","Karnataka","Tumkur","0.01","1.04","1.15","34.68","86.98","50.3","59.88","40.66","58.66","194.15","20.52","3.36"
"66","1995","5","Karnataka","Tumkur","2.21","0.0","3.83","25.91","71.56","54.02","65.89","95.35","121.96","141.17","12.61","0.07"
"66","1996","5","Karnataka","Tumkur","0.03","0.16","1.23","47.16","81.29","94.57","38.84","104.01","117.97","99.97","5.85","11.58"
"66","1997","5","Karnataka","Tumkur","0.66","0.0","5.94","37.83","36.4","62.39","26.57","74.81","112.97","227.4","80.63","19.17"
"66","1998","5","Karnataka","Tumkur","0.0","1.0","0.35","40.16","104.21","27.17","115.34","129.61","134.1","175.78","33.28","14.33"
"66","1999","5","Karnataka","Tumkur","0.0","3.58","0.76","42.34","111.23","40.98","58.71","40.16","77.61","183.29","29.24","5.54"
"66","2000","5","Karnataka","Tumkur","0.05","1.81","0.03","45.2","55.96","42.39","59.54","103.61","127.72","191.81","17.55","9.29"
"66","2001","5","Karnataka","Tumkur","0.42","0.48","0.68","58.74","33.0","18.65","63.87","41.28","114.69","141.25","21.89","3.98"
"66","2002","5","Karnataka","Tumkur","0.09","0.18","0.2","6.98","121.16","74.15","24.55","34.25","51.61","181.35","22.5","1.66"
"66","2003","5","Karnataka","Tumkur","0.0","0.72","1.8","54.74","4.97","48.8","56.13","56.12","50.19","169.99","15.38","1.06"
"66","2004","5","Karnataka","Tumkur","0.72","0.52","0.62","34.99","119.05","37.12","126.66","40.54","131.16","134.17","20.26","0.06"
"66","2005","5","Karnataka","Tumkur","0.42","2.31","2.28","52.7","75.38","58.94","85.75","85.95","134.63","192.08","33.38","5.46"
"66","2006","5","Karnataka","Tumkur","0.13","0.0","21.84","22.96","96.92","70.59","38.91","38.67","90.29","100.16","27.33","0.1"
"66","2007","5","Karnataka","Tumkur","0.0","0.69","0.27","75.22","85.04","34.09","101.63","97.65","181.64","132.83","30.67","13.43"
"66","2008","5","Karnataka","Tumkur","0.05","8.15","17.79","31.27","41.98","51.8","127.45","118.71","107.67","182.17","33.37","2.85"
"66","2009","5","Karnataka","Tumkur","0.03","0.0","4.85","27.02","79.82","103.42","24.68","62.06","182.92","71.22","57.21","11.51"
"66","2010","5","Karnataka","Tumkur","0.01","0.18","1.16","60.93","66.45","58.69","63.42","61.07","125.12","148.95","82.62","4.13"
"66","2011","5","Karnataka","Tumkur","0.0","12.2","0.1","53.8","76.13","32.45","61.84","111.62","104.8","148.8","28.06","2.93"
"66","2012","5","Karnataka","Tumkur","0.04","0.65","0.02","18.59","66.63","10.15","41.98","78.27","63.36","80.53","57.85","8.81"
"66","2013","5","Karnataka","Tumkur","0.0","2.15","1.96","15.29","88.73","82.81","81.9","43.99","170.37","97.32","61.88","0.76"
"66","2014","5","Karnataka","Tumkur","0.0","0.24","1.79","14.42","50.01","75.32","67.56","59.51","173.25","276.05","22.43","3.68"
"66","2015","5","Karnataka","Tumkur","1.23","0.0","10.32","48.96","103.82","40.65","55.12","48.62","94.52","72.53","123.78","2.11"
"67","1966","5","Karnataka","Mysore","17.12","14.56","12.83","11.54","10.53","10.85","61.27","53.99","65.96","122.08","129.35","73.75"
"67","1967","5","Karnataka","Mysore","13.87","0.0","2.15","30.87","65.16","168.11","194.23","84.98","22.65","101.67","25.24","21.34"
"67","1968","5","Karnataka","Mysore","0.02","21.62","23.18","96.62","124.81","108.82","118.72","73.09","118.04","101.1","29.45","4.9"
